"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ISNE,"2/2/2023 12 a.m. EST",459,3,868,623,243,4199,91,3355
ISNE,"2/2/2023 1 a.m. EST",467,3,851,635,273,4221,83,3356
ISNE,"2/2/2023 2 a.m. EST",453,3,850,627,266,3842,88,3350
ISNE,"2/2/2023 3 a.m. EST",453,3,852,627,267,3787,87,3358
ISNE,"2/2/2023 4 a.m. EST",445,3,851,631,268,3913,87,3366
ISNE,"2/2/2023 5 a.m. EST",498,3,845,628,293,4195,87,3376
ISNE,"2/2/2023 6 a.m. EST",512,3,985,649,331,4890,97,3389
ISNE,"2/2/2023 7 a.m. EST",531,3,1271,650,364,5821,110,3374
ISNE,"2/2/2023 8 a.m. EST",519,20,1788,642,408,5775,108,3351
ISNE,"2/2/2023 9 a.m. EST",475,135,1402,622,428,5425,106,3348
ISNE,"2/2/2023 10 a.m. EST",427,266,959,624,410,4765,111,3351
ISNE,"2/2/2023 11 a.m. EST",405,315,889,619,400,4316,117,3354
ISNE,"2/2/2023 12 p.m. EST",388,323,854,623,393,4071,115,3355
ISNE,"2/2/2023 1 p.m. EST",347,341,849,613,405,3699,114,3349
ISNE,"2/2/2023 2 p.m. EST",417,333,874,608,427,3834,111,3356
ISNE,"2/2/2023 3 p.m. EST",417,276,908,610,522,3960,88,3368
ISNE,"2/2/2023 4 p.m. EST",486,169,952,611,720,4357,87,3373
ISNE,"2/2/2023 5 p.m. EST",525,35,1557,627,774,5330,86,3386
ISNE,"2/2/2023 6 p.m. EST",671,6,1768,646,755,6039,84,3370
ISNE,"2/2/2023 7 p.m. EST",799,6,1788,639,757,5988,88,3355
ISNE,"2/2/2023 8 p.m. EST",822,6,1780,647,754,5698,89,3357
ISNE,"2/2/2023 9 p.m. EST",862,5,1436,657,752,5297,88,3345
ISNE,"2/2/2023 10 p.m. EST",739,3,1012,647,751,4727,88,3338
ISNE,"2/2/2023 11 p.m. EST",806,3,928,648,745,3956,89,3338
ISNE,"2/3/2023 12 a.m. EST",782,3,903,636,751,3462,88,3350
ISNE,"2/3/2023 1 a.m. EST",812,3,852,621,785,3336,89,3353
ISNE,"2/3/2023 2 a.m. EST",852,3,857,633,787,3361,88,3368
ISNE,"2/3/2023 3 a.m. EST",849,3,851,613,786,3479,89,3365
ISNE,"2/3/2023 4 a.m. EST",890,3,843,614,788,3490,87,3367
ISNE,"2/3/2023 5 a.m. EST",798,3,790,603,832,3492,88,3359
ISNE,"2/3/2023 6 a.m. EST",918,3,805,603,936,3859,87,3387
ISNE,"2/3/2023 7 a.m. EST",982,3,921,630,1058,4354,87,3369
ISNE,"2/3/2023 8 a.m. EST",1062,27,985,652,1298,4808,85,3376
ISNE,"2/3/2023 9 a.m. EST",1049,173,972,652,1571,4113,83,3352
ISNE,"2/3/2023 10 a.m. EST",1051,329,884,638,1557,3687,83,3368
ISNE,"2/3/2023 11 a.m. EST",1080,397,912,655,2239,2966,95,3359
ISNE,"2/3/2023 12 p.m. EST",1076,413,952,657,2376,2802,106,3353
ISNE,"2/3/2023 1 p.m. EST",1046,410,950,651,2428,2775,104,3359
ISNE,"2/3/2023 2 p.m. EST",1043,393,969,640,2595,2861,98,3368
ISNE,"2/3/2023 3 p.m. EST",974,315,1018,664,3283,3155,112,3379
ISNE,"2/3/2023 4 p.m. EST",918,188,1089,662,3930,4056,123,3386
ISNE,"2/3/2023 5 p.m. EST",871,43,1685,673,4760,4519,215,3381
ISNE,"2/3/2023 6 p.m. EST",842,7,1687,645,5223,5362,258,3371
ISNE,"2/3/2023 7 p.m. EST",810,7,1950,646,5374,5567,335,3373
ISNE,"2/3/2023 8 p.m. EST",768,6,1651,629,5425,5965,404,3368
ISNE,"2/3/2023 9 p.m. EST",735,5,1124,645,5188,6274,415,3356
ISNE,"2/3/2023 10 p.m. EST",695,5,865,649,5127,6340,408,3355
ISNE,"2/3/2023 11 p.m. EST",664,5,810,640,5141,5875,406,3358
ISNE,"2/4/2023 12 a.m. EST",649,5,825,629,5165,5071,409,3348
ISNE,"2/4/2023 1 a.m. EST",635,5,807,632,4919,4679,407,3358
ISNE,"2/4/2023 2 a.m. EST",614,5,789,616,4980,4531,406,3363
ISNE,"2/4/2023 3 a.m. EST",608,5,771,601,5164,4536,406,3370
ISNE,"2/4/2023 4 a.m. EST",596,5,754,595,5207,4719,410,3374
ISNE,"2/4/2023 5 a.m. EST",590,5,727,576,5329,4795,405,3362
ISNE,"2/4/2023 6 a.m. EST",584,5,1294,560,5262,4902,406,3368
ISNE,"2/4/2023 7 a.m. EST",570,5,2119,528,5453,4840,408,3362
ISNE,"2/4/2023 8 a.m. EST",562,28,2351,521,5606,4913,405,3358
ISNE,"2/4/2023 9 a.m. EST",542,145,1825,502,5284,4864,409,3348
ISNE,"2/4/2023 10 a.m. EST",557,261,1469,497,5062,4571,405,3344
ISNE,"2/4/2023 11 a.m. EST",604,318,1204,511,4512,4574,405,3359
ISNE,"2/4/2023 12 p.m. EST",618,348,1027,532,4251,4772,403,3351
ISNE,"2/4/2023 1 p.m. EST",636,351,1080,547,4011,4817,404,3358
ISNE,"2/4/2023 2 p.m. EST",657,334,936,566,3766,4916,404,3356
ISNE,"2/4/2023 3 p.m. EST",645,239,1004,575,3703,5430,407,3379
ISNE,"2/4/2023 4 p.m. EST",630,130,1122,564,3913,5934,405,3365
ISNE,"2/4/2023 5 p.m. EST",618,28,1168,567,3966,6635,406,3372
ISNE,"2/4/2023 6 p.m. EST",580,7,1112,576,4023,7280,406,3363
ISNE,"2/4/2023 7 p.m. EST",544,7,960,588,3709,7348,407,3351
ISNE,"2/4/2023 8 p.m. EST",531,7,1178,583,3150,7167,406,3353
ISNE,"2/4/2023 9 p.m. EST",449,6,1264,575,2774,7163,409,3363
ISNE,"2/4/2023 10 p.m. EST",385,5,1082,575,2440,7066,405,3348
ISNE,"2/4/2023 11 p.m. EST",319,5,1255,569,2116,5995,403,3339
ISNE,"2/5/2023 12 a.m. EST",281,5,850,559,1831,5435,405,3339
ISNE,"2/5/2023 1 a.m. EST",317,5,738,554,1403,5053,397,3334
ISNE,"2/5/2023 2 a.m. EST",319,5,769,571,1351,4777,404,3360
ISNE,"2/5/2023 3 a.m. EST",364,5,959,555,1329,4503,403,3359
ISNE,"2/5/2023 4 a.m. EST",350,5,1305,557,1117,4397,408,3344
ISNE,"2/5/2023 5 a.m. EST",364,5,1076,582,1117,4338,408,3350
ISNE,"2/5/2023 6 a.m. EST",382,5,936,586,1106,4349,407,3351
ISNE,"2/5/2023 7 a.m. EST",357,5,895,579,1094,4480,406,3358
ISNE,"2/5/2023 8 a.m. EST",355,23,876,576,1070,4740,403,3359
ISNE,"2/5/2023 9 a.m. EST",331,114,901,565,1024,4580,398,3358
ISNE,"2/5/2023 10 a.m. EST",286,234,876,556,852,4717,400,3357
ISNE,"2/5/2023 11 a.m. EST",249,298,830,554,497,4587,375,3350
ISNE,"2/5/2023 12 p.m. EST",262,330,834,547,275,4192,246,3352
ISNE,"2/5/2023 1 p.m. EST",247,309,817,531,184,4290,63,3362
ISNE,"2/5/2023 2 p.m. EST",276,229,827,530,65,4981,4,3368
ISNE,"2/5/2023 3 p.m. EST",228,200,871,531,40,5423,5,3357
ISNE,"2/5/2023 4 p.m. EST",247,123,931,534,0,6004,3,3373
ISNE,"2/5/2023 5 p.m. EST",292,33,1022,538,0,6649,5,3366
ISNE,"2/5/2023 6 p.m. EST",387,7,1710,565,0,7060,6,3368
ISNE,"2/5/2023 7 p.m. EST",374,7,1800,573,0,6915,4,3355
ISNE,"2/5/2023 8 p.m. EST",320,7,1298,566,0,6998,3,3351
ISNE,"2/5/2023 9 p.m. EST",325,6,1031,558,0,6693,3,3355
ISNE,"2/5/2023 10 p.m. EST",312,5,929,556,0,6493,3,3359
ISNE,"2/5/2023 11 p.m. EST",307,5,919,549,0,5991,2,3347
ISNE,"2/6/2023 12 a.m. EST",323,5,833,526,0,5074,3,3337
ISNE,"2/6/2023 1 a.m. EST",323,5,796,540,0,4394,4,3350
ISNE,"2/6/2023 2 a.m. EST",341,5,850,537,0,4103,1,3355
ISNE,"2/6/2023 3 a.m. EST",358,5,859,535,0,3930,3,3360
ISNE,"2/6/2023 4 a.m. EST",296,5,865,543,0,4164,2,3362
ISNE,"2/6/2023 5 a.m. EST",249,5,866,540,0,4649,2,3363
ISNE,"2/6/2023 6 a.m. EST",244,5,954,551,0,4862,4,3372
ISNE,"2/6/2023 7 a.m. EST",226,5,1350,567,0,5439,4,3375
ISNE,"2/6/2023 8 a.m. EST",165,16,1719,560,0,5832,5,3359
ISNE,"2/6/2023 9 a.m. EST",157,64,1370,555,15,6068,3,3353
ISNE,"2/6/2023 10 a.m. EST",218,132,1139,549,16,5726,0,3356
ISNE,"2/6/2023 11 a.m. EST",257,182,887,554,6,5759,1,3372
ISNE,"2/6/2023 12 p.m. EST",287,212,816,547,0,5920,0,3368
ISNE,"2/6/2023 1 p.m. EST",328,197,850,537,0,6010,0,3360
ISNE,"2/6/2023 2 p.m. EST",419,205,846,535,0,5896,1,3352
ISNE,"2/6/2023 3 p.m. EST",529,151,862,523,0,6078,1,3381
ISNE,"2/6/2023 4 p.m. EST",603,87,877,551,0,6369,7,3372
ISNE,"2/6/2023 5 p.m. EST",632,34,1079,573,0,6889,9,3380
ISNE,"2/6/2023 6 p.m. EST",730,6,2100,570,0,7189,0,3370
ISNE,"2/6/2023 7 p.m. EST",808,5,2006,572,0,7193,0,3364
ISNE,"2/6/2023 8 p.m. EST",763,5,1796,556,0,7001,0,3332
ISNE,"2/6/2023 9 p.m. EST",697,5,1486,563,0,7040,1,3359
ISNE,"2/6/2023 10 p.m. EST",642,5,998,561,0,6697,0,3342
ISNE,"2/6/2023 11 p.m. EST",609,5,889,559,0,5714,0,3318
ISNE,"2/7/2023 12 a.m. EST",589,5,886,547,0,4965,0,3345
ISNE,"2/7/2023 1 a.m. EST",507,5,861,567,0,5059,0,3366
ISNE,"2/7/2023 2 a.m. EST",463,5,846,560,0,5164,0,3357
ISNE,"2/7/2023 3 a.m. EST",489,5,831,554,0,5194,0,3354
ISNE,"2/7/2023 4 a.m. EST",516,5,797,562,0,5260,0,3365
ISNE,"2/7/2023 5 a.m. EST",479,5,785,561,0,5674,0,3375
ISNE,"2/7/2023 6 a.m. EST",429,5,838,568,0,6095,0,3374
ISNE,"2/7/2023 7 a.m. EST",422,5,1234,567,0,6931,0,3386
ISNE,"2/7/2023 8 a.m. EST",434,39,1889,586,0,7386,0,3365
ISNE,"2/7/2023 9 a.m. EST",420,192,1134,598,1,6819,0,3342
ISNE,"2/7/2023 10 a.m. EST",342,331,936,586,5,5765,0,3344
ISNE,"2/7/2023 11 a.m. EST",256,406,863,574,1,5630,0,3361
ISNE,"2/7/2023 12 p.m. EST",150,422,831,579,0,5922,0,3372
ISNE,"2/7/2023 1 p.m. EST",130,405,828,580,0,5279,1,3355
ISNE,"2/7/2023 2 p.m. EST",0,0,0,0,0,0,0,0
ISNE,"2/7/2023 3 p.m. EST",0,0,0,0,0,0,0,0
ISNE,"2/7/2023 4 p.m. EST",273,114,824,584,0,7185,6,3374
ISNE,"2/7/2023 5 p.m. EST",307,36,1549,582,0,7647,1,3384
ISNE,"2/7/2023 6 p.m. EST",423,9,1725,597,0,8435,5,3373
ISNE,"2/7/2023 7 p.m. EST",471,9,1684,598,0,8409,5,3353
ISNE,"2/7/2023 8 p.m. EST",526,9,1252,586,0,8176,6,3345
ISNE,"2/7/2023 9 p.m. EST",486,8,878,586,0,7900,3,3353
ISNE,"2/7/2023 10 p.m. EST",460,7,866,587,0,7114,6,3353
ISNE,"2/7/2023 11 p.m. EST",482,7,848,581,0,6270,4,3334
ISNE,"2/8/2023 12 a.m. EST",526,7,800,577,0,5272,2,3347
ISNE,"2/8/2023 1 a.m. EST",550,7,791,583,0,5151,3,3346
ISNE,"2/8/2023 2 a.m. EST",516,7,748,582,0,4981,4,3349
ISNE,"2/8/2023 3 a.m. EST",538,7,741,572,0,4867,13,3352
ISNE,"2/8/2023 4 a.m. EST",552,7,792,578,0,4716,16,3358
ISNE,"2/8/2023 5 a.m. EST",508,7,815,580,0,4755,6,3367
ISNE,"2/8/2023 6 a.m. EST",489,7,817,582,0,5184,4,3376
ISNE,"2/8/2023 7 a.m. EST",463,7,1064,589,0,6304,3,3392
ISNE,"2/8/2023 8 a.m. EST",504,23,1441,587,0,6476,2,3352
ISNE,"2/8/2023 9 a.m. EST",614,86,1066,590,0,6471,9,3355
ISNE,"2/8/2023 10 a.m. EST",612,132,898,585,0,5967,3,3330
ISNE,"2/8/2023 11 a.m. EST",630,167,852,582,0,5281,5,3349
ISNE,"2/8/2023 12 p.m. EST",699,195,848,593,0,5038,5,3362
ISNE,"2/8/2023 1 p.m. EST",723,272,794,580,0,4624,4,3332
ISNE,"2/8/2023 2 p.m. EST",878,341,821,589,0,4208,4,3363
ISNE,"2/8/2023 3 p.m. EST",907,317,870,580,0,4435,1,3371
ISNE,"2/8/2023 4 p.m. EST",910,215,878,579,0,4751,1,3382
ISNE,"2/8/2023 5 p.m. EST",861,63,941,583,0,5962,2,3393
ISNE,"2/8/2023 6 p.m. EST",898,11,1460,587,0,6826,1,3382
ISNE,"2/8/2023 7 p.m. EST",973,10,1678,583,0,6671,4,3356
ISNE,"2/8/2023 8 p.m. EST",956,10,1553,575,0,6569,3,3354
ISNE,"2/8/2023 9 p.m. EST",904,10,1158,568,0,6461,6,3344
ISNE,"2/8/2023 10 p.m. EST",954,9,900,566,0,5736,3,3343
ISNE,"2/8/2023 11 p.m. EST",932,9,809,564,0,5193,4,3336
ISNE,"2/9/2023 12 a.m. EST",865,9,774,564,0,4800,7,3352
